sale_date,channel,total_sales,forecast_sales
2025-04-04,App Mobile,2195.06,
2025-04-05,App Mobile,2589.47,
2025-04-06,App Mobile,2182.46,
2025-04-07,App Mobile,0.0,
2025-04-08,App Mobile,0.0,
2025-04-09,App Mobile,0.0,
2025-04-10,App Mobile,0.0,
2025-04-11,App Mobile,0.0,
2025-04-12,App Mobile,0.0,
2025-04-13,App Mobile,2559.39,
2025-04-14,App Mobile,1578.26,
2025-04-15,App Mobile,3290.74,
2025-04-16,App Mobile,3805.35,
2025-04-17,App Mobile,3112.0299999999997,
2025-04-18,App Mobile,4640.96,
2025-04-19,App Mobile,3506.99,
2025-04-20,App Mobile,2099.51,
2025-04-21,App Mobile,4339.93,
2025-04-22,App Mobile,4003.25,
2025-04-23,App Mobile,3433.99,
2025-04-24,App Mobile,2188.11,
2025-04-25,App Mobile,5014.0,
2025-04-26,App Mobile,2272.3,
2025-04-27,App Mobile,3091.1,
2025-04-28,App Mobile,3002.02,
2025-04-29,App Mobile,1330.23,
2025-04-30,App Mobile,3291.66,
2025-05-01,App Mobile,0.0,
2025-05-02,App Mobile,0.0,
2025-05-03,App Mobile,0.0,
2025-05-04,App Mobile,3833.33,
2025-05-05,App Mobile,1860.79,
2025-05-06,App Mobile,2939.23,
2025-05-07,App Mobile,0.0,
2025-05-08,App Mobile,0.0,
2025-05-09,App Mobile,0.0,
2025-05-10,App Mobile,0.0,
2025-05-11,App Mobile,0.0,
2025-05-12,App Mobile,0.0,
2025-05-13,App Mobile,4617.37,
2025-05-14,App Mobile,841.9200000000001,
2025-05-15,App Mobile,2500.71,
2025-05-16,App Mobile,1542.23,
2025-05-17,App Mobile,2281.92,
2025-05-18,App Mobile,3081.62,
2025-05-19,App Mobile,959.1,
2025-05-20,App Mobile,5371.38,
2025-05-21,App Mobile,4053.83,
2025-05-22,App Mobile,3031.48,
2025-05-23,App Mobile,3505.58,
2025-05-24,App Mobile,4157.41,
2025-05-25,App Mobile,3402.3,
2025-05-26,App Mobile,3131.39,
2025-05-27,App Mobile,2127.65,
2025-05-28,App Mobile,1621.04,
2025-05-29,App Mobile,3379.64,
2025-05-30,App Mobile,3066.53,
2025-05-31,App Mobile,5092.22,
2025-06-01,App Mobile,0.0,
2025-06-02,App Mobile,0.0,
2025-06-03,App Mobile,0.0,
2025-06-04,App Mobile,2030.49,
2025-06-05,App Mobile,2446.03,
2025-06-06,App Mobile,2405.22,
2025-06-07,App Mobile,0.0,
2025-06-08,App Mobile,0.0,
2025-06-09,App Mobile,0.0,
2025-06-10,App Mobile,0.0,
2025-06-11,App Mobile,0.0,
2025-06-12,App Mobile,0.0,
2025-06-13,App Mobile,1650.67,
2025-06-14,App Mobile,4047.24,
2025-06-15,App Mobile,2495.87,
2025-06-16,App Mobile,3526.72,
2025-06-17,App Mobile,4033.22,
2025-06-18,App Mobile,,2016.9844504504506
2025-06-19,App Mobile,,2016.5328342342345
2025-06-20,App Mobile,,2016.0812180180183
2025-06-21,App Mobile,,2015.629601801802
2025-06-22,App Mobile,,2015.1779855855857
2025-06-23,App Mobile,,2014.7263693693696
2025-06-24,App Mobile,,2014.2747531531534
2025-04-04,E-commerce,3269.7,
2025-04-05,E-commerce,3781.27,
2025-04-06,E-commerce,1887.22,
2025-04-07,E-commerce,0.0,
2025-04-08,E-commerce,0.0,
2025-04-09,E-commerce,0.0,
2025-04-10,E-commerce,0.0,
2025-04-11,E-commerce,0.0,
2025-04-12,E-commerce,0.0,
2025-04-13,E-commerce,1651.17,
2025-04-14,E-commerce,5333.51,
2025-04-15,E-commerce,3278.35,
2025-04-16,E-commerce,1639.78,
2025-04-17,E-commerce,3701.05,
2025-04-18,E-commerce,3091.56,
2025-04-19,E-commerce,4901.26,
2025-04-20,E-commerce,4615.04,
2025-04-21,E-commerce,2989.2000000000003,
2025-04-22,E-commerce,4144.13,
2025-04-23,E-commerce,1308.76,
2025-04-24,E-commerce,4050.5099999999998,
2025-04-25,E-commerce,1451.63,
2025-04-26,E-commerce,3977.65,
2025-04-27,E-commerce,2393.96,
2025-04-28,E-commerce,4212.7300000000005,
2025-04-29,E-commerce,4094.66,
2025-04-30,E-commerce,3288.06,
2025-05-01,E-commerce,0.0,
2025-05-02,E-commerce,0.0,
2025-05-03,E-commerce,0.0,
2025-05-04,E-commerce,2890.43,
2025-05-05,E-commerce,3731.07,
2025-05-06,E-commerce,2220.37,
2025-05-07,E-commerce,0.0,
2025-05-08,E-commerce,0.0,
2025-05-09,E-commerce,0.0,
2025-05-10,E-commerce,0.0,
2025-05-11,E-commerce,0.0,
2025-05-12,E-commerce,0.0,
2025-05-13,E-commerce,1474.6100000000001,
2025-05-14,E-commerce,4605.09,
2025-05-15,E-commerce,4197.09,
2025-05-16,E-commerce,3545.5,
2025-05-17,E-commerce,3327.24,
2025-05-18,E-commerce,5898.84,
